genus,higher_taxon
Nucula,Biv
Yoldia,Biv
Nuculana,Biv
Nuculopsis,Biv
Edmondia,Biv
Pernopecten,Biv
Lithophaga,Biv
Astartella,Biv
Aviculopecten,Biv
Schizodus,Biv
Palaeoneilo,Biv
Parallelodon,Biv
Phestia,Biv
Modiolus,Biv
Deceptrix,Biv
Ctenodonta,Biv
Modiolopsis,Biv
Cyrtodonta,Biv
Ambonychia,Biv
Colpomya,Biv
Cymatonota,Biv
Vanuxemia,Biv
Cyrtodontula,Biv
Nuculites,Biv
Tancrediopsis,Biv
Ctenodonta peracuta,Biv
Lyrodesma,Biv
Rhytimya,Biv
Ischyrodonta,Biv
Pterinea,Biv
Praenucula,Biv
Modiolopsis modiolaris,Biv
Ischyrodonta unionoides,Biv
Lyrodesma poststriatum,Biv
Nucularca pectunculoides,Biv
Colpomya faba,Biv
Byssonychia radiata,Biv
Similodonta,Biv
Palaeoneilo fecunda,Biv
Orthodesma,Biv
Palaeoconcha,Biv
Anomalodonta,Biv
Pholadomorpha,Biv
Cycloconcha,Biv
Cuneamya,Biv
Pholadomorpha pholadiformis,Biv
Cymatonota semistriata,Biv
Psiloconcha grandis,Biv
Cuneamya miamiensis,Biv
Pterinea demissa,Biv
Pseudocolpomya,Biv
Ambonychia obesa,Biv
Opisthoptera casei,Biv
Ortonella hainesi,Biv
Sphenolium,Biv
Allonychia,Biv
Eurymya,Biv
Modiolodon,Biv
Opisthoptera,Biv
Pyanomya,Biv
Sedgwickia,Biv
Whiteavesia,Biv
Cleionychia,Biv
Ortonella,Biv
Amphiocoelia,Biv
Leptodesma,Biv
Nuculoidea,Biv
Leptodesma (Leiopteria),Biv
Mytilarca,Biv
Cornellites,Biv
Eoschizodus,Biv
Hercynella,Biv
Goniophora,Biv
Modiomorpha,Biv
Actinopterella,Biv
Rhombopteria,Biv
Slava,Biv
Illionia,Biv
Cypricardinia,Biv
Grammysia,Biv
Myalina,Biv
Pinna,Biv
Spathella,Biv
Pseudaviculopecten,Biv
Acanthopecten,Biv
Euchondria,Biv
Sanguinolites,Biv
Caneyella,Biv
Posidonia,Biv
Deltopecten,Biv
Allorisma,Biv
Tancrediopsis cuneata,Biv
Eurydesma,Biv
Pecten,Biv
Palaeonucula,Biv
Phestia rugodorsata,Biv
Nuculana biangulata,Biv
Wilkingia walkeri,Biv
Limipecten,Biv
Permophorus,Biv
Bakevellia,Biv
Kabyaipecten,Biv
Etheripecten,Biv
Streblochondria,Biv
Streblopteria,Biv
Nuculavus,Biv
Polidevcia,Biv
Annuliconcha,Biv
Buchiola (Megabuchiola),Biv
Pterinopecten,Biv
Pteronitella,Biv
Carydium,Biv
Cypricardella,Biv
Janeia,Biv
Actinopteria,Biv
Leptodomus,Biv
Lunulacardium,Biv
Paracyclas,Biv
Phthonia,Biv
Modiella,Biv
Palaeopinna,Biv
Limoptera,Biv
Panenka,Biv
Euthydesma,Biv
Buchiola,Biv
Orthonota,Biv
Tellinopsis,Biv
Pterochaenia,Biv
Megalodon,Biv
Glossites,Biv
Ptychopteria,Biv
Protomya,Biv
Septimyalina burmai,Biv
Wilkingia terminale,Biv
Aviculopinna peracuta,Biv
Septimyalina,Biv
Edmondia nebrascensis,Biv
Aviculopecten occidentalis,Biv
Aviculopecten arctisulcatus,Biv
Clavicosta,Biv
Myalinella meeki,Biv
Schizodus wheeleri,Biv
Wilkingia,Biv
Promytilus vetulus,Biv
Paleyoldia,Biv
Permophorus subcostatus,Biv
Myalina (Orthomyalina) subquadrata,Biv
Permophorus oblongus,Biv
Volsellina subelliptica,Biv
Septimyalina scitula,Biv
Euchondria pellucida,Biv
Acanthopecten carboniferous,Biv
Anthraconeilo,Biv
Clinopistha,Biv
Dunbarella striata,Biv
Palaeolima retifera,Biv
Streblochondria tenuilineata,Biv
Astartella concentrica,Biv
Monopteria,Biv
Economolopsis anodontoides,Biv
Paleyoldia glabra,Biv
Aviculopinna,Biv
Nuculopsis girtyi,Biv
Myalina (Myalina) wyomingensis,Biv
Myalina permiana,Biv
Chaenomya,Biv
Heteropecten vanvleeti,Biv
Pseudomonotis hawni,Biv
Grammatodon,Biv
Buchia,Biv
Isognomon,Biv
Pleuromya uniformis,Biv
Hartwellia,Biv
Entolium orbiculare,Biv
Oxytoma,Biv
Isocyprina,Biv
Camptonectes,Biv
Tancredia,Biv
Pinna (Pinna) lanceolata,Biv
Eriphyla,Biv
Mesosaccella,Biv
Pleuromya,Biv
Goniomya literata,Biv
Nucula (Nucula) sphenopsis,Biv
Nucula (Nucula) smithvillensis,Biv
Hilgardia multilineata,Biv
Calorhadia (Litorhadia) mater,Biv
Homomya hamatoides,Biv
Pteria limula,Biv
Eburneopecten scintillatus,Biv
Myrtaea (Myrtaea) curta,Biv
Lucina subcurta,Biv
Venericardia (Rotundicardia) diversidentata,Biv
Bathytormus flexurus,Biv
Spisula jacksonensis,Biv
Alveinus minutus,Biv
Callista annexa,Biv
Pitar securiformis,Biv
Caryocorbula densata,Biv
Caestocorbula wailesiana,Biv
Periploma claibornense,Biv
Calorhadia albirupina,Biv
Pleuromeris,Biv
Lirodiscus jacksonensis,Biv
Crassinella pygmaea,Biv
Abra nitens,Biv
Verticordia cossmanni,Biv
Glycymeris idonea,Biv
Venericardia apodensata,Biv
Calorhadia reginajacksonis,Biv
Lucina ozarkana,Biv
Diplodonta (Diplodonta) ungulina,Biv
Timothynus bulla,Biv
Corbula,Biv
Atrina jacksoniana,Biv
Venericardia (Pleuromeris) parva,Biv
Pleuromeris inflator,Biv
Kelliella boettgeri,Biv
Caryocorbula willistoni,Biv
Saxolucina gaufia,Biv
Nuculana spheniopsis,Biv
Nuculana smithvillensis,Biv
Calorhadia opulenta,Biv
Limopsis radiata,Biv
Pleuromeris inflatior,Biv
Alveinus sinutus,Biv
Malletia,Biv
Nemodon,Biv
Striarca,Biv
Idonearca capax,Biv
Glycymeris (Glycymerita),Biv
Glycymeris,Biv
Lycettia,Biv
Crenella elegantula,Biv
Tenuipteria argentea,Biv
Syncyclonema,Biv
Camptonectes bubonis,Biv
Anomia ornata,Biv
Limatula acutilineata,Biv
Gryphaeostrea vomer,Biv
Ambigostrea,Biv
Pterotrigonia (Scabrotrigonia),Biv
Clisocolus,Biv
Crassatella vadosa,Biv
Scambula perplana,Biv
Granocardium,Biv
Cymbophora,Biv
Leptosolen biplicata,Biv
Tellinimera,Biv
Aenona eufaulensis,Biv
Linearis,Biv
Liothyris,Biv
Veniella conradi,Biv
Tenea,Biv
Aphrodina,Biv
Cyprimeria,Biv
Caestocorbula crassiplica,Biv
Eufistulana,Biv
Clavipholas,Biv
Opertochasma,Biv
Anatimya anteradiata,Biv
Liopistha protexta,Biv
Brevicardium fragile,Biv
Crenella serica,Biv
Cymella,Biv
Exogyra (Exogyra) costata,Biv
Juliacorbula,Biv
Legumen,Biv
Protocardia (Pachycardium),Biv
Panopea,Biv
Parmicorbula,Biv
Pholadomya occidentalis,Biv
Pinna laqueata,Biv
Pleuriocardia,Biv
Lima (Lima) pelagica,Biv
Pteria,Biv
Anomia argentaria,Biv
Pycnodonte vesicularis,Biv
Agerostrea falcata,Biv
Nymphalucina linearia,Biv
Crassatella,Biv
Botula,Biv
Exogyra,Biv
Vetericardiella,Biv
Cyclorisma,Biv
Acutostrea,Biv
Agerostrea mesenterica,Biv
Arcopsis,Biv
Bathytormus pteropsis,Biv
Ethmocardium,Biv
Flemingostrea,Biv
Liopistha,Biv
Phacoides,Biv
Miocardiopsis,Biv
Pholadomya,Biv
Pseudolimea,Biv
Pycnodonte,Biv
Veniella,Biv
Limopsis,Biv
Syncyclonema kingi,Biv
Gyrostrea,Biv
Myrtea,Biv
Periplomya,Biv
Lima,Biv
Anatimya,Biv
Solemya,Biv
Anomia,Biv
Periploma,Biv
Cuspidaria grandis,Biv
Inoceramus,Biv
Antillocaprina,Biv
Gervilliopsis ensiformis,Biv
Dhondtichlamys,Biv
Titanosarcolites,Biv
Plicatula,Biv
Costellacesta,Biv
Astarte,Biv
Cuspidaria,Biv
Cuspidaria grovensis,Biv
Laternula,Biv
Protocardia,Biv
Solyma,Biv
Uddenia,Biv
Paranomia,Biv
Nemocardium (Brevicardium),Biv
Cuna texana,Biv
Astartemya,Biv
Linter,Biv
Inoceramus (Endocostea),Biv
Etea,Biv
Neithea,Biv
Plicatula tetrica,Biv
Eonavicula,Biv
Caestocorbula,Biv
Brachidontes,Biv
Postligata,Biv
Protodonax,Biv
Pulvinites,Biv
Pterotrigonia (Scabrotrigonia) thoracica,Biv
Barbatia (Cucullaearca),Biv
Liothyris carolinensis,Biv
Nucula cunifrons,Biv
Inoperna,Biv
Plectomya,Biv
Thracia,Biv
Arca,Biv
Etea carolinensis,Biv
Phelopteria,Biv
Radiopecten,Biv
Atreta,Biv
Ascaulocardium,Biv
Ascaulocardium armatum,Biv
Gyropleura,Biv
Lyriochlamys,Biv
Plagiostoma,Biv
Spondylus,Biv
Rastellum,Biv
Cucullaea littlei,Biv
Neithea quinquecostata,Biv
Aenona,Biv
Nuculana rostratruncata,Biv
Solyma elliptica,Biv
Caryocorbula,Biv
Tellina (Tellinella),Biv
Cucullaea,Biv
Lima kerri,Biv
Nymphalucina,Biv
Trigonarca,Biv
Callucina,Biv
Hypoxytoma,Biv
Nucula (Leionucula),Biv
Barbatia,Biv
Gervillia,Biv
Trochoceramus,Biv
Caprotina,Biv
Granocardium dumosum,Biv
Granocardium tenuistriatum,Biv
Leptosolen,Biv
Ctena,Biv
Nucula cancellata,Biv
Spyridoceramus,Biv
Spaniorinus,Biv
Hindsiella,Biv
Clisocolus moreauensis,Biv
Sourimis,Biv
Goniomya,Biv
Grammatodon (Cosmetodon) sulcatinus,Biv
Pseudoptera,Biv
Corbulamella,Biv
Protocardia subquadrata,Biv
Agerostrea,Biv
Dosiniopsis,Biv
Tancredia americana,Biv
Claibornites,Biv
Willimactra (Petromactra),Biv
Crassatellina,Biv
Nemodon grandis,Biv
Acila (Truncacila) demessa,Biv
Aphaea,Biv
Calva (Egelicalva),Biv
Corbicula,Biv
Cymbophora ashburnerii,Biv
Diplodonta,Biv
Glycymeris (Glycymerita) apletos,Biv
Legumen ooides,Biv
Loxo,Biv
Meekia (Mygallia) daileyi,Biv
Palaeomoera,Biv
Pterotrigonia,Biv
Yaadia,Biv
Trinacria cor,Biv
Oscillopha,Biv
Acila (Truncacila) princeps,Biv
Indogrammatodon vancouverensis,Biv
Cucullaea mathewsonii,Biv
Crenella,Biv
Lyriochlamys traskii,Biv
Spondylus subnodosus,Biv
Amphidonte,Biv
Fimbria,Biv
Subvenericardia,Biv
Opis (Hesperopis) rosarioensis,Biv
Opis (Hesperopis) triangulata,Biv
Meekia (Mygallia),Biv
Adelodonex,Biv
Calva peninsularis,Biv
Calva,Biv
Gastrochaena,Biv
Coralliochama,Biv
Xylophagella,Biv
Biradiolites,Biv
Bournonia,Biv
Thyrastylon,Biv
Radiolites macroplicatus,Biv
Durania,Biv
Tampsia,Biv
Barrettia,Biv
Praebarrettia,Biv
Chiapasella radiolitiformis,Biv
Arcomytilus,Biv
Eriphylopsis,Biv
Pseudocucullaea,Biv
Camptonectes virgatus,Biv
Neithea (Neithea) alpina,Biv
Inoceramus (Endocostea) balticus,Biv
Sauvagesia,Biv
Mitrocaprina,Biv
Antillosarcolites macgillavryi,Biv
Parastroma,Biv
Distefanella,Biv
Torreites,Biv
Praeradiolites,Biv
Mitrocaprina tschoppi,Biv
Monopleura,Biv
Caprinula,Biv
Radiolites,Biv
Agriopleura,Biv
Hippurites,Biv
Vaccinites,Biv
Merklinia,Biv
Limatula,Biv
Parvamussium,Biv
Barbatia ludoviciana,Biv
Chlamys nupera,Biv
Atrina,Biv
Ostrea,Biv
Chama,Biv
Glycymeris filosa,Biv
Teredo mississippiensis,Biv
Poromya mississippiensis,Biv
Lucina,Biv
Venericardia,Biv
Chama radiata,Biv
Barbatia aspera,Biv
Gastrochaena mississippiensis,Biv
Nemocardium nicolletti,Biv
Lopha (Lopha) vicksburgensis,Biv
Pycnodonte trigonalis,Biv
Abra,Biv
Felaniella palmerae,Biv
Barbatia seraperta,Biv
Nucula (Nucula) mauricensis,Biv
Calorhadia equalis,Biv
Calorhadia semen,Biv
Nuculana coelatella,Biv
Nuculana magna,Biv
Nuculana trumani,Biv
Barbatia (Plagiarca) rhomboidella,Biv
Pachecoa decisa,Biv
Pachecoa declivis,Biv
Pachecoa,Biv
Trinacria cuneus,Biv
Lithophaga petricoloides,Biv
Anomia hammetti,Biv
Crassostrea alabamiensis,Biv
Cubitostrea sellaeformis,Biv
Lucina pomilia,Biv
Miltha pandata,Biv
Venericardia (Venericor) densata,Biv
Venericardia tortidens,Biv
Crassinella minor,Biv
Ringicardium harrisi,Biv
Spisula decisa,Biv
Spisula parilis,Biv
Tellina leana,Biv
Tellina (Eurytellina) papyria,Biv
Mercimonia,Biv
Rhabdopitaria subcrassa,Biv
Caryocorbula deusseni,Biv
Corbula extenuata,Biv
Calorhadia bella,Biv
Glycymeris trigonella,Biv
Eophysema ozarkana,Biv
Pitar,Biv
Orthoyoldia psammotaea,Biv
Nemocardium,Biv
Tellina (Eurytellina) mooreana,Biv
Callista,Biv
Vokesula smithvillensis,Biv
Calorhadia compsa,Biv
Nuculana wautubbeana,Biv
Saccella catasarca,Biv
Plicatula filamentosa,Biv
Pteropsella lapidosa,Biv
Callista (Callista) perovata,Biv
Pitar petropolitanus,Biv
Verticordia,Biv
Cuspidaria attenuata,Biv
Chlamys wahtubbeana,Biv
Bathytormus clarkensis,Biv
Nemocardium lene,Biv
Nuculana multilineata,Biv
Limopsis aviculoides,Biv
Venericardia (Claibornicardia) alticostata,Biv
Bathytormus,Biv
Caestocorbula fossata,Biv
Verticordia sotoensis,Biv
Nucula (Nucula) ovula,Biv
Nuculana crassiparva,Biv
Chlamys clarkeana,Biv
Miltha claibornensis,Biv
Venericardia (Rotundicardia) rotunda,Biv
Spisula praetenuis,Biv
Tellina tallicheti,Biv
Nuculana coelata,Biv
Glycymeris lisbonensis,Biv
Venericardia stewarti,Biv
Venericardia (Claibornicardia) trapaquara,Biv
Pachecoa ellipsis,Biv
Lirodiscus virginianus,Biv
Anapteris regalis,Biv
Cuneocorbula subengonata,Biv
Myrtea curta,Biv
Notocorbula texana,Biv
Corbula subengota,Biv
Nuculana trivitate,Biv
Cubitostrea,Biv
Nemocardium salrivale,Biv
Liostrea,Biv
Nanogyra (Nanogyra) nana,Biv
Oxytoma inequivalvis,Biv
Astarte (Astarte),Biv
Lima (Limatula) consobrina,Biv
Protocardia striatula,Biv
Corbicellopsis,Biv
Pachymya,Biv
Thracia depressa,Biv
Modiolus bipartitus,Biv
Placunopsis radiata,Biv
Nicaniella,Biv
Trichites,Biv
Myophorella,Biv
Corbulomima,Biv
Arctica,Biv
Pleuromya elongata,Biv
Nuculoma,Biv
Discomiltha,Biv
Musculus,Biv
Unicardium,Biv
Nuculoma variabilis,Biv
Falcimytilus,Biv
Quenstedtia,Biv
Neocrassina,Biv
Lopatinia,Biv
Camptonectes (Boreionectes) broenlundi,Biv
Aguilerella,Biv
Modiolus strajeskianus,Biv
Meleagrinella,Biv
Entolium (Entolium) corneolum,Biv
Camptonectes (Costicamptonectes) milnelandensis,Biv
Praebuchia,Biv
Camptonectes (Camptonectes) auritus,Biv
Lucina lirata,Biv
Meleagrinella ovalis,Biv
Popenoella hemphilli,Biv
Cymbophora gabbiana,Biv
Solen,Biv
Willimactra (Petromactra) mathewsonii,Biv
Tellina,Biv
Trigonia evansana,Biv
Inoceramus fibrosus,Biv
Cucullaea (Idonearca),Biv
Nucula planimarginata,Biv
Pteria (Oxytoma) nebrascana,Biv
