genus,higher_taxon
Crurithyris,Brachiopod
Mesolobus,Brachiopod
Antiquatonia,Brachiopod
Derbyia,Brachiopod
Orbiculoidea,Brachiopod
Punctospirifer,Brachiopod
Chonetinella,Brachiopod
Krotovia,Brachiopod
Beecheria,Brachiopod
Eolissochonetes,Brachiopod
Linoproductus,Brachiopod
Hustedia,Brachiopod
Neospirifer,Brachiopod
Enteletes,Brachiopod
Rhipidomella,Brachiopod
Composita,Brachiopod
Lingula,Brachiopod
Desmoinesia,Brachiopod
Kozlowskia,Brachiopod
Neochonetes,Brachiopod
Plicochonetes,Brachiopod
Phricodothyris,Brachiopod
Shumardella,Brachiopod
Wellerella,Brachiopod
Marginifera,Brachiopod
Hystriculina,Brachiopod
Rugosochonetes,Brachiopod
Chonetina,Brachiopod
Anthracospirifer,Brachiopod
Crania,Brachiopod
Juresania,Brachiopod
Cleiothyridina,Brachiopod
Meekella,Brachiopod
Schizophoria,Brachiopod
Lingulella,Brachiopod
Schizambon,Brachiopod
Apheoorthis,Brachiopod
Tetralobula,Brachiopod
Syntrophina,Brachiopod
Finkelnburgia,Brachiopod
Paterula,Brachiopod
Acrotreta,Brachiopod
Obolus,Brachiopod
Aporthophyla,Brachiopod
Lingulepis,Brachiopod
Syntrophopsis,Brachiopod
Nanorthis,Brachiopod
Eurytreta,Brachiopod
Archaeorthis,Brachiopod
Glyptotrophia,Brachiopod
Orthis,Brachiopod
Nanorthis hamburgensis,Brachiopod
Diaphelasma,Brachiopod
Syntrophinella,Brachiopod
Imbricatia,Brachiopod
Nanorthis putilla,Brachiopod
Stichotrophia,Brachiopod
Leptella,Brachiopod
Diparelasma,Brachiopod
Tritoechia,Brachiopod
Polytoechia,Brachiopod
Xenelasma,Brachiopod
Hesperonomia,Brachiopod
Hesperonomiella,Brachiopod
Anomalorthis,Brachiopod
Ingria cloudi,Brachiopod
Liricamera nevadensis,Brachiopod
Orthambonites,Brachiopod
Orthidiella longwelli,Brachiopod
Trematorthis,Brachiopod
Taphrodonta,Brachiopod
Aporthophyla typa,Brachiopod
Desmorthis,Brachiopod
Ptychopleurella,Brachiopod
Leptellina (Leptellina) occidentalis,Brachiopod
Hesperorthis,Brachiopod
Atelelasma,Brachiopod
Sowerbyella,Brachiopod
Skenidioides,Brachiopod
Valcourea,Brachiopod
Camerella,Brachiopod
Dactylogonia,Brachiopod
Mimella,Brachiopod
Multicostella,Brachiopod
Rostricellula,Brachiopod
Sphenotreta,Brachiopod
Onychoplecia,Brachiopod
Christiania,Brachiopod
Colaptomena,Brachiopod
Dorytreta,Brachiopod
Titanambonites,Brachiopod
Westonia,Brachiopod
Conotreta,Brachiopod
Trematis,Brachiopod
Anisopleurella,Brachiopod
Ectenoglossa,Brachiopod
Elliptoglossa,Brachiopod
Leptellina,Brachiopod
Triplesia,Brachiopod
Glyptomena,Brachiopod
Palaeoglossa,Brachiopod
Glyptorthis,Brachiopod
Doleroides,Brachiopod
Oepikina,Brachiopod
Strophomena,Brachiopod
Tetraphalerella,Brachiopod
Chaulistomella,Brachiopod
Cyrtonotella,Brachiopod
Eremotrema,Brachiopod
Isophragma,Brachiopod
Palaeostrophomena,Brachiopod
Paurorthis,Brachiopod
Perimecocoelia,Brachiopod
Plectorthis,Brachiopod
Rhipidomena,Brachiopod
Dinorthis,Brachiopod
Rafinesquina,Brachiopod
Resserella,Brachiopod
Sowerbyites,Brachiopod
Eoplectodonta,Brachiopod
Trigrammaria,Brachiopod
Oxoplecia,Brachiopod
Paucicrura,Brachiopod
Bilobia,Brachiopod
Bimuria,Brachiopod
Zygospira,Brachiopod
Ancistrorhyncha,Brachiopod
Dalmanella,Brachiopod
Leptaena,Brachiopod
Pionodema,Brachiopod
Rhynchotrema,Brachiopod
Corineorthis,Brachiopod
Ptychoglyptus,Brachiopod
Cyclospira,Brachiopod
Leptobolus,Brachiopod
Protozyga,Brachiopod
Schizotreta,Brachiopod
Platystrophia,Brachiopod
Philhedra,Brachiopod
Scaphorthis perplexa,Brachiopod
Parastrophina,Brachiopod
Petrocrania,Brachiopod
Anazyga,Brachiopod
Plectambonites,Brachiopod
Paucicrura rogata,Brachiopod
Rafinesquina trentonensis,Brachiopod
Schizocrania,Brachiopod
Sowerbyella (Sowerbyella) sericea,Brachiopod
Leptobolus insignis,Brachiopod
Lingula curta,Brachiopod
Camarotoechia,Brachiopod
Orthorhynchula,Brachiopod
Craniops,Brachiopod
Onniella,Brachiopod
Hebertella,Brachiopod
Glyptorthis crispata,Brachiopod
Lingulapholis,Brachiopod
Cincinnetina multisecta,Brachiopod
Catazyga,Brachiopod
Zygospira modesta,Brachiopod
Sowerbyella rugosa,Brachiopod
Eochonetes,Brachiopod
Holtedahlina sulcata,Brachiopod
Catazyga headi,Brachiopod
Retrorsirostra carleyi,Brachiopod
Lepidocyclus,Brachiopod
Hiscobeccus capax,Brachiopod
Leptaena richmondensis,Brachiopod
Orthorhynchula linneyi,Brachiopod
Plaesiomys,Brachiopod
Eochonetes clarksvillensis,Brachiopod
Plaesiomys subquadratus,Brachiopod
Glyptorthis insculpta,Brachiopod
Eochonetes recedens,Brachiopod
Onniella quadrata,Brachiopod
Lepidocyclus laddi,Brachiopod
Dinorthis occidentalis,Brachiopod
Diceromyonia,Brachiopod
Lingulops,Brachiopod
Hebertella sinuata,Brachiopod
Holtedahlina,Brachiopod
Pseudolingula,Brachiopod
Petrocrania scabiosa,Brachiopod
Platystrophia ponderosa,Brachiopod
Rafinesquina ponderosa,Brachiopod
Hiscobeccus,Brachiopod
Pholidops,Brachiopod
Schuchertella,Brachiopod
Discina,Brachiopod
Eridorthis,Brachiopod
Heterorthina,Brachiopod
Retrorsirostra,Brachiopod
Atrypa,Brachiopod
Chonetes,Brachiopod
Coelospira,Brachiopod
Clintonella,Brachiopod
Dolerorthis,Brachiopod
Eocoelia,Brachiopod
Fardenia,Brachiopod
Hyattidina,Brachiopod
Mendacella,Brachiopod
Pentamerus,Brachiopod
Meristina,Brachiopod
Rhynchotreta,Brachiopod
Rhynchonella,Brachiopod
Spirifer,Brachiopod
Strophomena (Strophodonta),Brachiopod
Strophonella,Brachiopod
Protomegastrophia,Brachiopod
Pentameroides,Brachiopod
Plicostricklandia,Brachiopod
Eospirifer,Brachiopod
Gotatrypa,Brachiopod
Stricklandia,Brachiopod
Whitfieldella,Brachiopod
Isorthis,Brachiopod
Costistricklandia,Brachiopod
