genus,higher_taxon
Amphiscapha,Gastropod
Donaldina,Gastropod
Euphemites,Gastropod
Glabrocingulum,Gastropod
Palaeostylus (Leptozyga),Gastropod
Meekospira,Gastropod
Naticopsis,Gastropod
Trepospira,Gastropod
Worthenia,Gastropod
Phymatopleura,Gastropod
Cymatospira,Gastropod
Platyceras,Gastropod
Zygopleura,Gastropod
Pseudozygopleura,Gastropod
Sinuitina,Gastropod
Anematina,Gastropod
Ianthinopsis,Gastropod
Knightites,Gastropod
Stegocoelia,Gastropod
Straparollus,Gastropod
Shansiella,Gastropod
Cyclozyga,Gastropod
Anomphalus,Gastropod
Goniasma,Gastropod
Orthonema,Gastropod
Stephanozyga,Gastropod
Pharkidonotus,Gastropod
Girtyspira,Gastropod
Ozarkina,Gastropod
Macluritella,Gastropod
Ophileta,Gastropod
Gasconadia,Gastropod
Sinuopea,Gastropod
Schizopea,Gastropod
Gasconadia putilla,Gastropod
Plethospira,Gastropod
Euconia,Gastropod
Lecanospira,Gastropod
Hormotoma,Gastropod
Cyrtodiscus,Gastropod
Macluritella stantoni,Gastropod
Euconia umbilicata,Gastropod
Ecculiomphalus,Gastropod
Macluritella marylandica,Gastropod
Lecanospira compacta,Gastropod
Ceratopea,Gastropod
Tropidodiscus,Gastropod
Bucanella,Gastropod
Teiichispira affinis,Gastropod
Raphistomina,Gastropod
Euconia sinuata,Gastropod
Macluritella imperfecta,Gastropod
Ceratopea canadensis,Gastropod
Hormotoma bilineata,Gastropod
Lesueurilla,Gastropod
Orospira,Gastropod
Lophonema,Gastropod
Maclurites,Gastropod
Palliseria,Gastropod
Lophospira,Gastropod
Bucania,Gastropod
Raphistoma,Gastropod
Cyclora,Gastropod
Helicotoma,Gastropod
Sinuites,Gastropod
Plectonotus,Gastropod
Trochonema,Gastropod
Cyclonema,Gastropod
Liospira,Gastropod
Phragmolites,Gastropod
Subulites,Gastropod
Fusispira,Gastropod
Holopea,Gastropod
Eotomaria dryope,Gastropod
Pterotheca,Gastropod
Sinuites cancellatus,Gastropod
Clathrospira subconica,Gastropod
Hormotoma gracilis,Gastropod
Ruedemannia lirata,Gastropod
Liospira micula,Gastropod
Paupospira,Gastropod
Trochonema coxi,Gastropod
Clathrospira,Gastropod
Donaldiella,Gastropod
Schizolopha,Gastropod
Sinuites globularis,Gastropod
Fusispira sulcata,Gastropod
Sinuites subcompressa,Gastropod
Loxobucania crassa,Gastropod
Scalites richmondensis,Gastropod
Paupospira tropidophora,Gastropod
Cyclonema bilix,Gastropod
Sphenosphaera mohri,Gastropod
Paupospira bowdeni,Gastropod
Tetranota,Gastropod
Bucanopsis,Gastropod
Cyclonema (Dyeria),Gastropod
Salpingostoma,Gastropod
Sphenosphaera,Gastropod
Strophostylus,Gastropod
Platyceras (Platyostoma),Gastropod
Naticonema,Gastropod
Poleumita,Gastropod
Euomphalus,Gastropod
Tremanotus,Gastropod
Loxonema,Gastropod
Mesocoelia gregaria,Gastropod
Loxonema bertiense,Gastropod
Ectomaria,Gastropod
Mourlonia,Gastropod
Gyronema,Gastropod
Rhineoderma,Gastropod
Bembexia,Gastropod
Neilsonia,Gastropod
Spiroscala,Gastropod
Bucanella nana,Gastropod
Ceratopea sinclairensis,Gastropod
Lophospira serrulata,Gastropod
Macluritella uniangulata,Gastropod
Schizopea typica,Gastropod
Sinuopea emminencis,Gastropod
Cyclonema cancellatum,Gastropod
Murchisonia subulata,Gastropod
Longstaffia pulchra,Gastropod
Strophostylus cancellata,Gastropod
Sphenosphaera fiscellostriata,Gastropod
Plectonotoides boucoti,Gastropod
Plectonotoides trilobatus,Gastropod
Arjamannia,Gastropod
Platyostoma niagarensis,Gastropod
Bellerophon,Gastropod
Retispira,Gastropod
Euphemites sacajawensis,Gastropod
Angyomphalus excavatus,Gastropod
Pseudozygopleura scitula,Gastropod
Naticopsis remex,Gastropod
